id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_user,Can add user
14,4,change_user,Can change user
15,4,delete_user,Can delete user
16,4,view_user,Can view user
17,5,add_contenttype,Can add content type
18,5,change_contenttype,Can change content type
19,5,delete_contenttype,Can delete content type
20,5,view_contenttype,Can view content type
21,6,add_session,Can add session
22,6,change_session,Can change session
23,6,delete_session,Can delete session
24,6,view_session,Can view session
25,7,add_evento,Can add evento
26,7,change_evento,Can change evento
27,7,delete_evento,Can delete evento
28,7,view_evento,Can view evento
29,8,add_proveedor,Can add proveedor
30,8,change_proveedor,Can change proveedor
31,8,delete_proveedor,Can delete proveedor
32,8,view_proveedor,Can view proveedor
33,9,add_detallegasto,Can add detalle gasto
34,9,change_detallegasto,Can change detalle gasto
35,9,delete_detallegasto,Can delete detalle gasto
36,9,view_detallegasto,Can view detalle gasto
37,10,add_identifier,Can add identifier
38,10,change_identifier,Can change identifier
39,10,delete_identifier,Can delete identifier
40,10,view_identifier,Can view identifier
41,11,add_range,Can add range
42,11,change_range,Can change range
43,11,delete_range,Can delete range
44,11,view_range,Can view range
45,12,add_record,Can add record
46,12,change_record,Can change record
47,12,delete_record,Can delete record
48,12,view_record,Can view record
49,13,add_run,Can add data wizard
50,13,change_run,Can change data wizard
51,13,delete_run,Can delete data wizard
52,13,view_run,Can view data wizard
53,14,add_runlog,Can add run log
54,14,change_runlog,Can change run log
55,14,delete_runlog,Can delete run log
56,14,view_runlog,Can view run log
57,15,add_filesource,Can add file source
58,15,change_filesource,Can change file source
59,15,delete_filesource,Can delete file source
60,15,view_filesource,Can view file source
61,16,add_urlsource,Can add url source
62,16,change_urlsource,Can change url source
63,16,delete_urlsource,Can delete url source
64,16,view_urlsource,Can view url source